shipment_mode,total_cost
Air,10321.3
Air,10734
Ocean,123130
Ocean,175790.6382
Air,50902.5
Air,19247.45
Ocean,27343.25
Air,19034.03676
Air,50737
Air,50934.75
Ocean,7513.8
Air,27690
Air,25689.855
Ocean,20605.42
Ocean,22340
Air,8795
Ocean,26672.25
Ocean,30088.08
Ocean,10518
Air,30849.9
Air,19048.6
Ocean,46732.2455
Air,19023.18
Air,50382
Air,20474.4
Ocean,8971
Ocean,29963.5
Air,89920
Air,141401.81
Ocean,10478.72
Air,35814.65
Air,35159.607
Ocean,20778.75
Air,9682.425
Air,46630
Air,26741.75
Air,41113.8
Air,15723.72863
Ocean,5467.12
Air,9545.55
Air,41136.55
Ocean,136350
Ocean,83602.2
Air,51432
Ocean,10734
Air,20629.73
Ocean,120380
Air,60580
Air,71109.42
Air,105961
Air,15109.92
Ocean,100541.8
Air,10557.59
Ocean,9191
Air,8559.825
Ocean,10727.2
Air,60500.97
Air,133642.44
Ocean,16161.25
Ocean,21045.17
Air,26521.425
Air,30718.38
Ocean,67260.2
Ocean,75344.6
Air,42885
Ocean,20485.8
Air,3551.1
Air,20581
Air,2661.91
Air,25699.8
Ocean,44925
Air,18512.09615
Ocean,10749.05
Air,20347.125
Ocean,8037.9
Ocean,10771.2
Air,152094.54
Air,61821.45
Air,140794
Air,47222.55
Air,5053.86
Air,34443.19
Ocean,110066.25
Air,123798.3
Air,10447
Air,8585
Ocean,27423.526
Ocean,27705
Air,126872.91
Air,20558.09583
Ocean,99443.9992
Air,51387.45
Ocean,28572.4
Air,13677.28
Ocean,92981
Ocean,30859.6414
Air,125874.36
Air,27723
Air,14359.925
Air,8969
Air,101650.752
Ocean,15761.394
Air,13939.695
Ocean,120131
Air,89282.5
Ocean,28007.55
Air,51398.05
Ocean,10018.19
Air,56646.15
Air,9474.15
Air,6801.75
Air,35186.4
Air,86395.28
Air,35089.2
Air,10330.645
Ocean,30450.4
Air,61439
Air,12132.4
Air,9445.7
Air,9504.84
Air,50655.32
Air,56749
Ocean,32670
Air,101080.64
Ocean,10870
Air,30198
Air,93910.1
Air,18710
Air,50003.4407
Ocean,19987
Air,50904.64
Air,9355
Air,13155
Air,34784
Ocean,45828.75
Air,110616
Ocean,70630.25
Ocean,21725
Ocean,35483.25
Air,110952
Ocean,44730
Ocean,22400.6535
Air,132482.82
Air,17290
Ocean,3033.03
Air,13871.385
Air,60162.86
Ocean,26551.5
Air,55974.6
Ocean,50487.3
Air,9601.2
Ocean,18877
Air,17814.5
Ocean,128453.5
Air,26588.7
Ocean,90750
Ocean,75704.41
Air,187600
Air,95238.02
Ocean,102972.7
Ocean,43760
Air,43884.5
Air,26638.3
Air,45339.14
Air,46823.6
Air,175874
Air,100969
Air,135690.6
Air,88497.82
Ocean,20318.1
Air,34224
Air,33210.25
Air,16706.7
Air,10054.88
Air,3114.158987
Air,90650
Air,2308
Air,10598.27
Air,20440.675
Air,101375.96
Air,100572.57
Ocean,86550
Air,58730
Ocean,3126.225
Air,45430
Air,116380.96
Air,65741.25
Air,23391.25
Air,30806.6
Ocean,13126.8
Air,40526.26
Ocean,3126.225
Air,20547.705
Ocean,10525.5587
Air,31339.25
Ocean,25348.146
Air,10470.04
Air,15708.4
Air,174896.8
Air,92516.16
Ocean,81222.9
Air,18488.5
Air,133838.22
Air,100227.5
Air,15704.94
Air,18716.4308
Air,50166.95
Ocean,30313.8
Ocean,128564.8
Ocean,131925
Ocean,4278.375
Ocean,92796.2271
Air,18592
Air,35492
Ocean,102190
Ocean,37932.3
Ocean,27657
Ocean,23034
Air,27131.2
Air,17498
Ocean,32908.5
Air,18570
Air,10746.75
Air,81694.08
Air,52532.15
Air,87840
Ocean,44972.85
Air,139922.46
Ocean,14385.55
Air,30541.8
Air,25927.55
Air,5035.8
Ocean,20597.75
Ocean,118781.124
Ocean,167601.6
Air,30080.16
Air,6153
Ocean,20439.98
Ocean,100621.5
Air,11569.48
Air,45611.6
Air,15771.25
Ocean,90468.7
Ocean,30591
Air,10314.0942
Air,10144.46
Air,128386.0389
Ocean,91193.9
Air,9729.3
Air,74180.48
Air,51769.35149
Air,20464.71
Air,8042.087888
Air,47370
Ocean,62416.9
Air,36850.95
Air,9996.96
Air,12048.4
Ocean,91193.9
Ocean,50770.5
Air,9991.54
Ocean,25695
Ocean,5494.4
